municipio,Latitude,Longitude
Murtosa,40.7606571,-8.671705662529222
Murça,41.42591455,-7.465569503607106
Mértola,37.642043,-7.6606447
Mêda,40.93039395,-7.251758355250185
Nazaré,39.6029108,-9.0701572
Nelas,40.5299888,-7.8550987
Nisa,39.5149978,-7.6492263
Nordeste,37.8182511,-25.220328659543906
Odemira,37.5976,-8.6422
Odivelas,38.7904338,-9.1792617
Oeiras,38.6925777,-9.3123076
Oleiros,39.9189303,-7.9140153
Olhão,37.0270369,-7.8411287
Oliveira de Azeméis,40.8390118,-8.4777807
Oliveira de Frades,40.7322108,-8.1739059
Oliveira do Bairro,40.5138208,-8.4928163
Oliveira do Hospital,40.37918575,-7.857214780843502
Ourique,37.651112,-8.2237262
Ourém,39.65679,-8.57963
Ovar,40.8594819,-8.6252174
Palmela,38.569601,-8.9011653
Pampilhosa da Serra,40.0460143,-7.951515
Paredes,41.2078862,-8.3332321
Paredes de Coura,41.913389800000004,-8.56396258972716
Paços de Ferreira,41.290118,-8.378194008811969
Pedrógão Grande,39.9169584,-8.145564
Penacova,40.2702086,-8.2810743
Penafiel,41.2061892,-8.2855653
Penalva do Castelo,40.67436,-7.69997
Penamacor,40.168928,-7.1712605
Penedono,40.9899414,-7.3941885
Penela,40.029442,-8.3902395
Peniche,39.3568749,-9.3786838
Peso da Régua,41.1637043,-7.7875821
Pinhel,40.779428100000004,-7.103198559781845
Pombal,39.9161851,-8.6279171
Ponta Delgada,37.7393398,-25.6689503
Ponta do Sol,32.681067,-17.104073
Ponte da Barca,41.8076477,-8.416428
Ponte de Lima,41.7675021,-8.5830992
Ponte de Sor,39.2519303,-8.008997
Portalegre,39.2076447,-7.721513354015343
Portel,38.30859,-7.70497
Portimão,37.1375808,-8.5368426
Porto,41.1494512,-8.6107884
Porto Moniz,32.8669649,-17.1666328
Porto Santo,33.0657845,-16.336223627136313
Porto de Mós,39.6023941,-8.8185271
Povoação,37.7468829,-25.2451613
Praia da Vitória,38.739237599999996,-27.156264396780458
Proença-a-nova,39.74995,-7.92494
Póvoa de Lanhoso,41.5759516,-8.2699521
Póvoa de Varzim,41.3794188,-8.7598689
Redondo,38.6466891,-7.5467636
Reguengos de Monsaraz,38.4243996,-7.5347109
Resende,41.0749752,-7.950630855848868
Ribeira Brava,32.6700921,-17.0650395
Ribeira Grande,37.8136666,-25.464434187880435
Ribeira de Pena,41.5217103,-7.795143
Rio Maior,39.3365387,-8.9364098
Sabrosa,41.2663847,-7.5757615
Sabugal,40.403494949999995,-7.050143238598633
Salvaterra de Magos,39.0249942,-8.7929278
Santa Comba Dão,40.3961137,-8.1299564
Santa Cruz,32.6874768,-16.7912062
Santa Cruz Das Flores,39.4746797,-31.198634010012952
Santa Cruz da Graciosa,39.0528866,-28.012980339850664
Santa Maria da Feira,40.9254179,-8.5426688
Santa Marta de Penaguião,41.2100446,-7.78473
Santana,32.804907,-16.8813015
Santarém,39.2363637,-8.6867081
Santiago do Cacém,38.018461,-8.6937882
Santo Tirso,41.3440057,-8.4772021
Sardoal,39.53347,-8.16034
Seia,40.4200998,-7.7028054
Seixal,38.6422246,-9.1072662
Sernancelhe,40.91744885,-7.511907850844839
Serpa,37.9436517,-7.5966902
Sertã,39.8052145,-8.096441
Sesimbra,38.4436932,-9.0996273
Setúbal,38.5241783,-8.8932341
Sever do Vouga,40.7341808,-8.3702781
Silves,37.26398255,-8.348731138182709
Sines,37.956549,-8.8689639
Sintra,38.79846,-9.3881
Sobral de Monte Agraço,39.01835,-9.15171
Soure,40.0595032,-8.6263897
Sousel,38.95224,-7.67603
Sátão,40.7426067,-7.7336741
São Brás de Alportel,37.1529622,-7.8879138
São João da Madeira,40.897404,-8.490683816868543
São João da Pesqueira,41.147872,-7.4038806
São Pedro do Sul,40.7610407,-8.0657325
São Roque do Pico,38.5134299,-28.3201553
São Vicente,32.8022756,-17.0472397
Tabuaço,41.1173591,-7.5662701
Tarouca,41.01624,-7.7752378
Tavira,37.1262493,-7.6499121
Terras de Bouro,41.7190293,-8.3083026
Tomar,39.6036596,-8.4150492
Tondela,40.51642,-8.08053
Torre de Moncorvo,41.1739499,-7.0526159
Torres Novas,39.47962,-8.53955
Torres Vedras,39.0930856,-9.260741
Trancoso,40.77847,-7.34908
Trofa,41.3363471,-8.5585061
Tábua,40.3602946,-8.0284641
Vagos,40.5538919,-8.680915
Vale de Cambra,40.8498115,-8.3939142
Valença,42.0273051,-8.6404204
Valongo,41.1909794,-8.4980511
Valpaços,41.6067883,-7.3108525
Velas,38.6797531,-28.2052961
Vendas Novas,38.6773855,-8.4552427
Viana do Alentejo,38.3347679,-8.0043972
Viana do Castelo,41.694867,-8.831088
Vidigueira,38.2101595,-7.8014517
Vieira do Minho,41.6347151,-8.1425725
Vila Flor,41.3067941,-7.1517712
Vila Franca de Xira,38.91206415,-8.988923439153135
Vila Franca do Campo,37.7171624,-25.4335352
Vila Nova da Barquinha,39.4840045,-8.429939692509734
Vila Nova de Cerveira,41.9403912,-8.7436068
Vila Nova de Famalicão,41.4065175,-8.5187481
Vila Nova de Foz Côa,41.0818397,-7.1424138
Vila Nova de Gaia,41.1300103,-8.6058415
Vila Nova de Paiva,40.8559915,-7.756000322232646
Vila Nova de Poiares,40.2106048,-8.2562951
Vila Pouca de Aguiar,41.5007614,-7.6442868
Vila Real,41.5229299,-7.5466312481173325
Vila Real de Santo António,37.1946052,-7.4155628
Vila Velha de Ródão,39.6545418,-7.6723114
Vila Verde,41.6488247,-8.4362569
Vila Viçosa,38.7774063,-7.4166909
Vila de Rei,39.6759822,-8.1442213
Vila do Bispo,37.0829799,-8.9096115
Vila do Conde,41.3540398,-8.7435403
Vila do Porto,36.97262155,-25.10264949987561
Vimioso,41.5849534,-6.5291002
Vinhais,41.8336062,-7.007716
Viseu,40.6574713,-7.9138664
Vizela,41.3767158,-8.3083651
Vouzela,40.6754515,-8.148433712602198
Águeda,40.5785006,-8.4438017
Évora,38.5707742,-7.9092808
Ílhavo,40.6001108,-8.6666667
Óbidos,39.3619514,-9.157153
